file,tweet_column,total_rows,unique_tweets,repeated_count,duplicate_percentage,num_duplicate_groups,top_duplicates
farmers_protests.csv,tweet,120,102,18,15.0,12,"{'Farmers protests. \n \n Free liquor distribution https://t.co/QXh9sQWATi': 5, 'Bhartiya Kisan Union is leading organiser of farmers protests demanding roll back of Farms Bills. In 2019, @BKU_KisanUnion demanded: abolition of APMCs, full freedom to trade, full freedom to sell, rent &amp; lease farmland, contract farming, repeal of 9th schedule, futures trading. https://t.co/HEZtH5yL83': 4, 'The ugly truth of ""Farmers"" protests https://t.co/EBa2zmowuT': 3, 'Those asking for political rallies to stop &amp; kumbh mela to be cut short won’t breathe a word about 5-month-old farmers’ protests. #Superspreaders in #Covid-hit #Punjab are a protected species?': 2, 'Deep Sidhu arrested!\n \n So if he was a BJP agent why did Delhi police arrest him? And strangely Lakha Singh was spotted at a farmer\'s protest site! Hmmmmm so who is shielding these ""agents"" ??': 2, 'Farmers arriving in Delhi for the tractor parade receive a rousing reception. #FarmersProtests https://t.co/RcofTV6HCq': 2, 'Modi Govt in 🔥 Mood Today!\n \n NOW...INCOME TAX DEPT IS CONDUCTING SURVEY ACTION AT ""OXFAM INDIA""(DELHI)!!\n \n Survey Action..1st Step to investigate Money Laundering.Then enters ED!\n \n Oxfam India is NGO funded by SOROS &amp; OMIDYAR! Was involved in Anti-CAA Ri0t$ &amp; Fake Farmers Protests!': 2, ""This is a Teaser/Promo of '124a', a Documentary Film based on the ongoing Farmers Protests in India. The voice in the background is the speech of Sir Charlie Chaplin (As Hynkel) from his historic movie The Great Dictator (1940). \n Link : https://t.co/QJPgvn3WeM https://t.co/Vgp7iWuAlw"": 2, ""Dissent in Democracy? \n Or Anarchy?\n Farmers Protests or are 'farmers' an excuse to disrupt law &amp; order.\n Mobile towers: Do they not help with online education? \n Communication?\n Telemedicine? \n Banking? \n Who is disrupting India again &amp; again? \n Violation of law is totally unacceptable https://t.co/bQW7c27rnD"": 2, 'New agricultural reforms 2020 will save the lives of several farmers.\n \n #Farmers #FarmersIssue #FarmBills2020 #FarmersProtests https://t.co/crQlRXxjll': 2}"
hindutva.csv,tweet,120,116,4,3.3333333333333335,4,"{""Dear @narendramodi ji,\n \n Since last 7 years, \n I've quit all my works to serve the party.\n I'm your biggest fan.\n But today,\n for criticizing Karnataka state BJP president &amp; supporting 4 Hindutvawadi youths,\n our own leaders held a press conference &amp; called me a Congress agent. (1/2)"": 2, 'When Sangh says Hindusthan is Hindu Rashtra it does not have any political or power centered concept in its mind. Hindutva is the essence of this Rashtra’s ‘Swa’(self-hood). We are plainly acknowledging the selfhood of the country as Hindu. #RSSVijayaDashami https://t.co/FICQ45P28v': 2, 'Delhi Riot was not a riot - it was an organized &amp; planned mass killing of Muslims by Hindutva Gang! https://t.co/x7tepym285 via @TheClarionIndia': 2, 'If we work to raise the general level of consciousness of a common man and nurture the intrinsic spirit of oneness with Hindutva as the guiding force, then in the near future Bharatvarsh will emerge as the torchbearer for the rest of the world. #RSSVijayaDashami': 2}"
kashmiri_pandits.csv,tweet,120,94,26,21.666666666666668,12,"{'PM Manmohan Singh inaugurating Township and handing out flats for Kashmiri Pandits in 2011\n \n How many such township built by BJP in last 8 years ?\n \n YouTube https://t.co/K8lfe2mDvw\n \n #TheKashmirFiles https://t.co/DnFDNJrNpY': 6, '#KanganaRanaut calls out selective secularism of Bollywood and so-called liberals and urges @narendramodi @PMOIndia to take strict action against atrocities done on #KashmiriPandits and their safe return to their homeland. #AjayPandita #JusticeForAjayPandita https://t.co/gy6PxxkzEh': 6, ""Kashmir &amp; agony of Kashmiri Pandits is back in focus. Let's revisit what BJP &amp; Congress said after exodus of Pandits in Jan 1990\n \n Lok Sabha discussed the issue on Mar 13,1990. Jaswant Singh, who was the lead speaker from BJP opposed posting of Army, BSF in valley, I quote.. 1/n https://t.co/mp6iP1NBv0"": 5, 'Some Members asked- if there was no Congress, what would happen...\n \n I would like to say, if there was no Congress there would be no Emergency, there would be no caste politics, Sikhs would never have been massacred, the problems of Kashmiri Pandits would not have happened: PM': 4, ""Amit Malviya and Kapil Mishra misrepresented Delhi CM Kejriwal's assembly address where he criticised BJP members for promoting 'The Kashmir Files'. They falsely claimed Kejriwal denied atrocities faced by Kashmiri Pandits. #AltNewsFactCheck | @ArchitMeta\n https://t.co/YBOPGTfgyO"": 3, ""2008: India Today Conclave invited separatist Yasin Malik. India Today mentioned that he's a strong advocate for the right of return of Kashmiri Hindus.\n \n 2015: Yasin Malik protested against the colonies for Kashmiri Pandits.\n \n 2017: Yasin Malik assaulted India Today's Journalist."": 2, 'It was Congress who built Township for Kashmiri Pandits . It was PM Manmohan Singh who handed over Flats to Kashmiri Pandits.\n \n What BJP did in last 8 year ?\n \n #TheKashmirFiles https://t.co/M1Xx39IIm2': 2, 'A Himchali Migrant Banging Thali to protest against Sonu Sood for not sending Kashmiri Pandits back to their native home.(2020) https://t.co/wCE6QSNJZl': 2, '#KashmiriPandits- TV Media &amp; BJP targeted @ArvindKejriwal with a document issued by Dilip Bhan who claimed to be COORDINATOR of Government School Teachers Association (Migrant)\n \n In an exclusive interview to me, Bhan ADMITS that he is NOT the coordinator.\n \n https://t.co/WShb44Bnq0': 2, 'Kashmiri Pandits are protesting against the Govt for failure to provide them security\n \n Anupam Kher &amp; Vivek Agnihotri have not even tweeted in their support.\n \n Becoz Govt stooges cant question the authority, they only know how to milk the tragedy.': 2}"
congress.csv,tweet,120,118,2,1.6666666666666667,2,"{'I had never imagined I would say this but Youth Congress led by @srinivasiyc &amp; NSUI led by @Neerajkundan are doing a fantastic job at helping people with oxygen cylinders and life saving drugs etc. Even in the middle of night. Kudos! @zeeshan_iyc @NIGAMBHANDARI1 @JhanzaibSirwal': 2, 'Once Congress leader Kavitha Reddy had led a mob attack to abuse and heckle Kannada actress Samyuktha Reddy in Bengaluru for wearing a sports bra.\n\nToday same ppl are trending #RippedJeans': 2}"
hindu.csv,tweet,120,120,0,0.0,0,{}
kashmir.csv,tweet,120,116,4,3.3333333333333335,4,"{'Amidst chest thumping and cacophony in TV debates, one simple point.\n\nBJP has now been ruling for 8 years and preaching for last 7 decades as to how Kashmir should be handled. It must now demonstrate that it’s govt can secure the lives of people in Kashmir. https://t.co/M2YotTiz1f': 2, 'Rahul Gandhi doesn’t put 6 million Kashmiris in jail to claim Kashmir! #BharatJodoYatra https://t.co/9xb2VQjvpQ': 2, 'The cruelty and pain that is being inflicted on Kashmiris will come back to haunt all of us. https://t.co/g2OYCU3pbY': 2, 'I will never forget Shri Azad’s efforts and Shri Pranab Mukherjee’s efforts when people from Gujarat were stuck in Kashmir due to a terror attack. Ghulam Nabi Ji was constantly following up, he sounded as concerned as if those stuck were his own family members: PM Modi': 2}"
rahulgandhi.csv,tweet,120,113,7,5.833333333333333,5,"{'Thank you @RahulGandhi sir for your good wishes. https://t.co/r9F3VY7Ume': 3, 'Mr @RahulGandhi, nation was disturbed when:\n\nNehru gifted 38,000 sq km land to China. \n\nNehru sacrificed\xa0the permanent membership of the UNSC.\n\nIndira Gandhi imposed Emergency.\n\nCongress incited anti-sikh riots in 1984. \n\nScams were exploding all around Manmohan Singh. https://t.co/JcMC20D0yy': 3, 'Not just any evening walk…\nIn #BharatJodoYatra with @RahulGandhi ji #Telangana @revanth_anumula https://t.co/QXE5BuTXp6': 2, '**Maharashtra Model Exclusive**\n\nTest less lockdown is on why opened RTPCR Center  says in abusive &amp; threatening language Congress MLA from Deoli Ranjit Kamble close aide of @rahulgandhi &amp; @ashokchavanINC to District Health Officer Dr Ajay Davle. https://t.co/vF862VUpI4': 2, 'I swear on the Holy Quran, that @RahulGandhi met Nirav Modi at his cocktail party at Imperial Hotel, Delhi while loans were being given wrongly to Mehul Choksi and Nirav Modi in September of 2013 - @Shehzad_Ind.': 2}"
china.csv,tweet,120,119,1,0.8333333333333334,1,"{'Whatever the Ordnance Factory Board’s grievances with the Govt’s move to corporatise it, the fact that it’s 80,000 strong union-led workforce is going on strike at a time the military is in a standoff with China is ENOUGH to kill its case permanently https://t.co/z7VSaFM8xx': 2}"
farm_laws.csv,tweet,150,150,0,0.0,0,{}
caa.csv,tweet,150,150,0,0.0,0,{}
new_parliament.csv,tweet,150,150,0,0.0,0,{}
shaheen_bagh.csv,tweet,150,150,0,0.0,0,{}
ram_mandir.csv,tweet,150,150,0,0.0,0,{}
modi.csv,tweet,150,146,4,2.666666666666667,4,"{'What a magnificent new home for the people who uphold our Constitution, represent every citizen of this great Nation and protect the diversity of her one People @narendramodi ji. \nA new Parliament building for a New India but with the age old dream of Glory for India. Jai Hind!… https://t.co/OgafXSFoOn https://t.co/FjXFZwYk2T': 2, 'Yo Narendra - go on. Do what you can. \n\ncc: @narendramodi @DelhiPolice https://t.co/HYenfax0FK': 2, 'PM @narendramodi visited the Heliopolis War Memorial in Cairo. He paid homage to the supreme sacrifice made by countless Indian soldiers during the First World War. https://t.co/l4rGbIcOud': 2, 'This \u2066@narendramodi\u2069 Govt appears to be hell bent on destroying the dignity and sobriety of the three services; and replacing it with some bastardised Bollywood culture\n\nHow embarrassing this “Navy nautanki” is! Are the service chiefs going to shut their eyes and acquiesce? https://t.co/e3CZFgpgkp': 2}"
muslim.csv,tweet,150,150,0,0.0,0,{}
